http://www.jamstec.go.jp/frsgc/research/d1/iod/DATA/emi.monthly.txt



Date        Box_A     Box_B     Box_C     EMI(=Box_A-0.5*Box_B-0.5*Box_C)
1877:12:16:0 1.20177 2.00904 -0.0571549 0.225831
1878:1:16:0 1.145 1.94726 0.000878856 0.170926
1878:2:16:0 1.1786 1.85596 -0.0114315 0.256338
1878:3:16:0 0.745136 0.911859 0.0147177 0.281848
1878:4:16:0 0.53504 0.756952 0.0661643 0.123482
1878:5:16:0 0.492121 0.553959 0.037302 0.196491
1878:6:16:0 0.798392 0.544484 -0.0477698 0.550035
1878:7:16:0 0.280604 0.481548 0.102593 -0.0114665
1878:8:16:0 0.0160114 0.171773 0.146159 -0.142955
1878:9:16:0 -0.160225 -0.134343 0.178903 -0.182505
1878:10:16:0 -0.274035 -0.168183 0.139292 -0.25959
1878:11:16:0 -0.234805 -0.480054 0.214845 -0.1022
1878:12:16:0 -0.23697 -0.178858 0.158625 -0.226853
1879:1:16:0 -0.0896843 -0.0813282 0.232873 -0.165457
1879:2:16:0 -0.0999476 -0.102372 0.167922 -0.132722
1879:3:16:0 -0.0731816 -0.223787 0.115884 -0.0192305
1879:4:16:0 -0.214691 -0.339361 0.00766648 -0.0488438
1879:5:16:0 -0.476271 -0.515577 0.189912 -0.313438
1879:6:16:0 -0.639038 -0.2458 0.317786 -0.675031
1879:7:16:0 -0.652595 -0.109977 0.310636 -0.752925
1879:8:16:0 -0.56936 -0.139471 0.185646 -0.592448
1879:9:16:0 -0.516848 -0.209982 0.215946 -0.519829
1879:10:16:0 -0.67763 -0.28133 0.0242259 -0.549078
1879:11:16:0 -0.758047 -0.454717 -0.032196 -0.514591
1879:12:16:0 -0.550879 -0.251101 -0.233689 -0.308484
1880:1:16:0 -0.375724 -0.437083 -0.0914085 -0.111478
1880:2:16:0 -0.301152 -0.0936083 -0.0804758 -0.21411
1880:3:16:0 -0.336336 -0.357908 -0.0541867 -0.130288
1880:4:16:0 -0.340345 -0.317892 -0.132491 -0.115153
1880:5:16:0 -0.409807 -0.32947 -0.187372 -0.151386
1880:6:16:0 -0.471152 -0.478896 -0.276015 -0.0936965
1880:7:16:0 -0.386474 -0.0211916 -0.216699 -0.267529
1880:8:16:0 -0.392971 0.219829 -0.162309 -0.421732
1880:9:16:0 -0.265828 0.469715 -0.205801 -0.397785
1880:10:16:0 -0.0492706 0.53828 -0.177119 -0.229851
1880:11:16:0 0.128079 0.581462 -0.15139 -0.0869566
1880:12:16:0 0.214396 0.21716 -0.075024 0.143328
1881:1:16:0 0.209675 0.132805 -0.0804239 0.183484
1881:2:16:0 0.172694 -0.0585805 -0.0872514 0.24561
1881:3:16:0 0.309554 -0.040488 0.0427971 0.308399
1881:4:16:0 0.456829 0.00360062 -0.0468139 0.478435
1881:5:16:0 0.383935 0.0916179 0.0522366 0.312007
1881:6:16:0 0.274817 0.0836269 -0.0431457 0.254576
1881:7:16:0 -0.0765143 0.0477462 0.0431632 -0.121969
1881:8:16:0 0.0183299 -0.228371 -0.112613 0.188822
1881:9:16:0 -0.102383 -0.213299 -0.0792619 0.0438968
1881:10:16:0 -0.159526 -0.0284906 -0.027984 -0.131289
1881:11:16:0 -0.23332 -0.201996 -0.0885788 -0.0880327
1881:12:16:0 -0.147528 -0.344212 0.0113775 0.0188891
1882:1:16:0 -0.181401 -0.551129 0.0340382 0.0771439
1882:2:16:0 -0.297087 -0.585642 0.18944 -0.0989856
1882:3:16:0 -0.196058 -0.528362 0.193189 -0.0284723
1882:4:16:0 0.161085 -0.178728 -0.0360033 0.26845
1882:5:16:0 0.141365 -0.282784 -0.0688591 0.317187
1882:6:16:0 -0.00460878 -0.700383 -0.0752558 0.383211
1882:7:16:0 -0.109384 -0.801785 -0.143886 0.363452
1882:8:16:0 0.0464109 -0.785019 -0.124715 0.501278
1882:9:16:0 -0.298188 -0.397483 -0.119617 -0.0396377
1882:10:16:0 -0.29754 -0.292278 -0.0869946 -0.107904
1882:11:16:0 -0.507106 -0.534141 0.0805043 -0.280288
1882:12:16:0 -0.431777 -0.638973 -0.0343453 -0.0951184
1883:1:16:0 -0.0969723 -0.793103 0.0618365 0.268661
1883:2:16:0 -0.0805564 -0.621381 0.0680692 0.1961
1883:3:16:0 -0.119752 -0.610347 -0.0911481 0.230995
1883:4:16:0 -0.112749 -0.210503 -0.0959401 0.0404731
1883:5:16:0 -0.264533 -0.107089 -0.142378 -0.139799
1883:6:16:0 -0.149969 0.115457 -0.138317 -0.138539
1883:7:16:0 -0.0191105 -0.0787438 -0.111329 0.0759258
1883:8:16:0 -0.161199 -0.434693 -0.215732 0.164013
1883:9:16:0 -0.148961 -0.339183 -0.23749 0.139375
1883:10:16:0 -0.0910221 -0.0246646 -0.324 0.0833101
1883:11:16:0 0.0141042 0.0948496 -0.303856 0.118607
1883:12:16:0 -0.0445875 -0.323476 -0.335606 0.284954
1884:1:16:0 0.0633812 -0.212082 -0.443666 0.391255
1884:2:16:0 0.137056 -0.214323 -0.489075 0.488755
1884:3:16:0 0.155506 0.323598 -0.366428 0.176921
1884:4:16:0 0.225859 0.51826 -0.364333 0.148895
1884:5:16:0 0.490324 0.413681 -0.516478 0.541722
1884:6:16:0 0.0212539 0.21615 -0.130423 -0.0216092
1884:7:16:0 0.24872 0.0754211 -0.503076 0.462547
1884:8:16:0 0.187942 0.203032 -0.230443 0.201647
1884:9:16:0 0.136127 0.227518 -0.170987 0.107862
1884:10:16:0 0.0419235 0.274316 -0.230429 0.01998
1884:11:16:0 -0.0209467 0.48391 -0.185016 -0.170394
1884:12:16:0 0.0638602 0.642064 -0.21138 -0.151482
1885:1:16:0 -0.0302598 0.356366 -0.126052 -0.145417
1885:2:16:0 0.105007 0.184542 -0.19687 0.111171
1885:3:16:0 0.219673 -0.129517 -0.12174 0.345302
1885:4:16:0 0.102898 -0.0918237 -0.20483 0.251225
1885:5:16:0 0.555129 -0.27388 -0.365315 0.874727
1885:6:16:0 0.258658 -0.487577 -0.476454 0.740673
1885:7:16:0 0.151898 -0.405387 -0.563412 0.636298
1885:8:16:0 0.301981 -0.105163 -0.504582 0.606853
1885:9:16:0 0.385338 0.105805 -0.480033 0.572453
1885:10:16:0 0.543625 0.126379 -0.568784 0.764827
1885:11:16:0 0.500766 0.242592 -0.480476 0.619709
1885:12:16:0 0.496279 0.254195 -0.201993 0.470178
1886:1:16:0 0.315327 -0.60328 -0.0449608 0.639447
1886:2:16:0 0.203597 -0.75133 -0.0530349 0.605779
1886:3:16:0 0.374076 -0.713378 -0.0633402 0.762436
1886:4:16:0 0.0984031 -0.541713 0.206438 0.266041
1886:5:16:0 -0.319049 -0.870745 0.0705032 0.0810714
1886:6:16:0 -0.414094 -1.07055 -0.0529309 0.147648
1886:7:16:0 -0.571149 -0.700674 -0.0835937 -0.179016
1886:8:16:0 -0.691821 -0.929309 0.321798 -0.388066
1886:9:16:0 -0.702257 -0.553556 0.252848 -0.551902
1886:10:16:0 -0.615459 -0.604702 -0.0714716 -0.277373
1886:11:16:0 -0.757583 -0.529951 0.0558038 -0.52051
1886:12:16:0 -0.995504 -0.762519 0.0692958 -0.648892
1887:1:16:0 -0.506989 -0.698299 -0.125149 -0.0952654
1887:2:16:0 -0.341125 -0.726971 0.134761 -0.0450202
1887:3:16:0 -0.618594 -0.823425 0.243282 -0.328522
1887:4:16:0 -0.748773 -0.653709 0.169688 -0.506763
1887:5:16:0 -0.723152 -0.48564 0.178802 -0.569733
1887:6:16:0 -0.327488 -0.135307 -0.214294 -0.152688
1887:7:16:0 -0.261929 0.0196937 -0.30714 -0.118206
1887:8:16:0 -0.304354 -0.341843 0.029257 -0.148061
1887:9:16:0 -0.286264 -0.0543849 -0.0610453 -0.228549
1887:10:16:0 -0.0879162 -0.0880971 -0.0551508 -0.0162923
1887:11:16:0 0.069995 0.120986 -0.25543 0.137217
1887:12:16:0 -0.0101329 0.1923 -0.0045153 -0.104025
1888:1:16:0 -0.0447582 0.155019 0.13432 -0.189428
1888:2:16:0 0.35263 0.220255 0.081821 0.201592
1888:3:16:0 0.336594 0.279019 0.0218064 0.186182
1888:4:16:0 0.294659 0.483181 -0.187777 0.146957
1888:5:16:0 0.218835 0.798728 -0.211358 -0.0748499
1888:6:16:0 0.272861 0.929439 -0.525777 0.0710295
1888:7:16:0 0.338059 0.528659 -0.441266 0.294362
1888:8:16:0 0.476394 0.463251 -0.396957 0.443247
1888:9:16:0 0.0192384 1.51823 -0.18612 -0.646818
1888:10:16:0 0.922297 1.61993 -0.517833 0.371249
1888:11:16:0 1.22682 1.71689 -0.408977 0.572863
1888:12:16:0 0.843821 1.35203 -0.0495335 0.192575
1889:1:16:0 0.923841 1.49977 -0.481403 0.41466
1889:2:16:0 0.730827 1.00371 -0.428982 0.443464
1889:3:16:0 0.473398 0.759927 -0.194699 0.190784
1889:4:16:0 0.256727 0.536265 -0.0757734 0.0264817
1889:5:16:0 0.258697 0.253923 -0.0267654 0.145118
1889:6:16:0 -0.100226 -0.0576026 0.142819 -0.142835
1889:7:16:0 -0.254907 -0.326734 0.076685 -0.129883
1889:8:16:0 -0.352244 -0.548347 -0.00377458 -0.0761831
1889:9:16:0 -0.405374 -0.594089 0.247073 -0.231867
1889:10:16:0 -0.79774 -0.83187 0.266496 -0.515053
1889:11:16:0 -0.727641 -0.545418 0.149161 -0.529512
1889:12:16:0 -0.847851 -0.260059 -0.037171 -0.699236
1890:1:16:0 -1.50404 -0.52467 0.0192571 -1.25133
1890:2:16:0 -1.28142 -0.513688 0.00480326 -1.02698
1890:3:16:0 -0.605742 -0.426285 -0.17933 -0.302934
1890:4:16:0 -0.538149 -0.649116 -0.193461 -0.11686
1890:5:16:0 -0.536174 -0.715823 -0.186798 -0.0848631
1890:6:16:0 -0.785166 -0.907733 -0.119242 -0.271679
1890:7:16:0 -0.726897 -0.746211 -0.120644 -0.29347
1890:8:16:0 -1.15863 -0.654517 6.34012e-05 -0.831402
1890:9:16:0 -1.0873 -0.622674 -0.0508306 -0.75055
1890:10:16:0 -0.954827 -0.669857 -0.000125184 -0.619836
1890:11:16:0 -0.88384 -0.728107 0.0163177 -0.527946
1890:12:16:0 -0.557538 -0.480268 -0.0516032 -0.291602
1891:1:16:0 -0.332905 -0.251654 -0.180847 -0.116654
1891:2:16:0 -0.130569 -0.107815 -0.368621 0.107648
1891:3:16:0 -0.00371272 0.18978 -0.174565 -0.0113201
1891:4:16:0 0.0959442 0.454597 -0.298496 0.0178937
1891:5:16:0 0.153653 0.592988 -0.255513 -0.0150845
1891:6:16:0 0.117924 0.530179 -0.351366 0.0285179
1891:7:16:0 0.0018294 0.510407 -0.397549 -0.0545997
1891:8:16:0 0.00281107 0.177041 -0.502705 0.165643
1891:9:16:0 -0.0320254 -0.166599 -0.377529 0.240039
1891:10:16:0 0.0220122 -0.220988 -0.165887 0.21545
1891:11:16:0 0.0795483 -0.0954155 -0.119439 0.186976
1891:12:16:0 0.0200976 -0.010685 -0.10839 0.0796352
1892:1:16:0 -0.299519 -0.0783632 0.0222851 -0.27148
1892:2:16:0 -0.22421 -0.244264 0.0758541 -0.140006
1892:3:16:0 -0.413931 -0.50321 0.0701445 -0.197398
1892:4:16:0 -0.568921 -0.59514 0.063605 -0.303154
1892:5:16:0 -0.349248 -0.682796 0.10837 -0.0620354
1892:6:16:0 -0.359345 -0.705405 0.0612872 -0.037286
1892:7:16:0 -0.462181 -0.715445 -0.153285 -0.0278159
1892:8:16:0 -0.549046 -0.921828 -0.0345731 -0.0708448
1892:9:16:0 -0.817279 -1.10441 0.107297 -0.318723
1892:10:16:0 -1.15591 -1.37444 -0.0707987 -0.433293
1892:11:16:0 -1.13905 -1.20922 0.043536 -0.556213
1892:12:16:0 -0.69208 -1.16166 -0.123186 -0.0496548
1893:1:16:0 -0.484818 -1.23339 -0.0482325 0.155995
1893:2:16:0 -0.515243 -1.03358 -0.0754876 0.039292
1893:3:16:0 -0.678691 -0.838282 0.181917 -0.350508
1893:4:16:0 -0.974411 -0.828278 0.237174 -0.678859
1893:5:16:0 -0.959424 -0.757767 0.236113 -0.698598
1893:6:16:0 -0.990631 -0.773068 0.355 -0.781597
1893:7:16:0 -1.27037 -0.806124 0.583057 -1.15884
1893:8:16:0 -1.26051 -0.817048 0.413399 -1.05868
1893:9:16:0 -1.21268 -0.658811 0.139204 -0.952874
1893:10:16:0 -1.18716 -0.538289 0.0107485 -0.92339
1893:11:16:0 -1.04623 -0.235962 -0.0558089 -0.90034
1893:12:16:0 -0.859866 -0.46346 -0.100956 -0.577658
1894:1:16:0 -0.892831 -0.291594 -0.0654781 -0.714295
1894:2:16:0 -1.0379 -0.44013 0.0390042 -0.83734
1894:3:16:0 -0.86462 -0.451965 -0.0939499 -0.591662
1894:4:16:0 -0.784024 -0.470034 0.0184819 -0.558248
1894:5:16:0 -0.743928 -0.506137 0.037605 -0.509662
