http://www.jamstec.go.jp/frsgc/research/d1/iod/DATA/emi.monthly.txt



Date        Box_A     Box_B     Box_C     EMI(=Box_A-0.5*Box_B-0.5*Box_C)
1905:3:16:0 0.509554 0.633441 -0.230588 0.308128
1905:4:16:0 0.247311 0.0824104 -0.162626 0.287419
1905:5:16:0 0.579719 1.26897 -0.339487 0.114975
1905:6:16:0 0.325784 1.13425 -0.0407161 -0.220985
1905:7:16:0 0.704068 0.828345 -0.381559 0.480676
1905:8:16:0 0.689637 1.17663 -0.473925 0.338283
1905:9:16:0 0.970451 0.82142 -0.514185 0.816834
1905:10:16:0 0.612369 0.631202 -0.343425 0.46848
1905:11:16:0 0.561107 1.18556 -0.356983 0.146817
1905:12:16:0 0.594551 0.276892 -0.250943 0.581577
1906:1:16:0 0.319374 0.449048 -0.347097 0.268398
1906:2:16:0 0.424646 0.446757 -0.237769 0.320152
1906:3:16:0 0.853902 -0.0531076 -0.385716 1.07331
1906:4:16:0 0.382615 -0.0509941 -0.264776 0.5405
1906:5:16:0 0.196096 -0.0662637 -0.124024 0.29124
1906:6:16:0 0.240287 -0.0767628 -0.159521 0.358428
1906:7:16:0 0.0764033 -0.858809 0.00443774 0.503589
1906:8:16:0 0.239837 -1.04564 0.165084 0.680114
1906:9:16:0 -0.483517 -1.07101 0.247135 -0.0715811
1906:10:16:0 -0.539532 -0.770796 0.148448 -0.228358
1906:11:16:0 -0.00509353 -0.459594 -0.0726444 0.261026
1906:12:16:0 -0.159819 -0.489308 0.0410363 0.0643173
1907:1:16:0 -0.272972 -0.442768 -0.123817 0.0103203
1907:2:16:0 -0.239331 -0.18527 -0.230833 -0.0312793
1907:3:16:0 -0.230656 -0.359585 -0.236011 0.0671421
1907:4:16:0 -0.318347 -0.479696 -0.332547 0.0877751
1907:5:16:0 -0.144669 -0.658758 -0.234158 0.301789
1907:6:16:0 -0.0785906 -0.253714 0.0142141 0.0411595
1907:7:16:0 -0.098094 -0.710474 -0.0240124 0.269149
1907:8:16:0 -0.0981614 -1.05341 -0.119246 0.488167
1907:9:16:0 0.0903968 -0.102152 -0.30919 0.296068
1907:10:16:0 -0.284393 -0.586758 0.110649 -0.0463388
1907:11:16:0 -0.0865618 -0.419393 0.110813 0.067728
1907:12:16:0 -0.123005 -0.432262 -0.0690275 0.127639
1908:1:16:0 -0.27247 -0.213179 -0.223294 -0.0542335
1908:2:16:0 -0.129656 -0.0256043 -0.215857 -0.00892566
1908:3:16:0 -0.320321 0.0222911 -0.0663781 -0.298277
1908:4:16:0 -0.224972 -0.861676 -0.0300632 0.220898
1908:5:16:0 -0.0681022 -0.814632 -0.00635119 0.342389
1908:6:16:0 -0.306901 0.0759985 -0.162033 -0.263883
1908:7:16:0 -0.329226 -0.592459 0.0318193 -0.0489063
1908:8:16:0 -0.31495 -0.520976 -0.152685 0.0218799
1908:9:16:0 -0.225856 -0.766034 -0.106179 0.210251
1908:10:16:0 -0.326679 -0.437027 -0.1756 -0.0203653
1908:11:16:0 -0.557693 -0.863931 -0.0699574 -0.0907488
1908:12:16:0 -0.699305 -0.86399 -0.279855 -0.127382
1909:1:16:0 -0.297452 0.057427 -0.194158 -0.229087
1909:2:16:0 -0.484366 -0.780479 -0.108525 -0.039864
1909:3:16:0 -0.334273 -0.185848 -0.340726 -0.070986
1909:4:16:0 -0.366891 -0.680856 -0.196291 0.0716828
1909:5:16:0 0.0396914 -0.662119 0.0517267 0.344887
1909:6:16:0 -0.622683 -1.1968 0.17161 -0.110086
1909:7:16:0 -0.652292 -0.932763 0.192009 -0.281915
1909:8:16:0 -0.759741 -1.17937 0.278725 -0.309417
1909:9:16:0 -0.557675 -1.15606 0.233229 -0.0962583
1909:10:16:0 -0.855099 -1.03891 0.121365 -0.396329
1909:11:16:0 -0.989328 -1.0966 0.0465837 -0.464318
1909:12:16:0 -0.737907 -0.833147 0.0313143 -0.336991
1910:1:16:0 -0.896792 -1.05394 0.144478 -0.442059
1910:2:16:0 -0.632677 -0.603338 0.046212 -0.354114
1910:3:16:0 -0.743091 -0.743367 -0.223828 -0.259493
1910:4:16:0 -0.934706 -0.741451 -0.188773 -0.469594
1910:5:16:0 -0.990068 -0.974039 0.072663 -0.53938
1910:6:16:0 -0.901487 -0.828502 -0.0258503 -0.474311
1910:7:16:0 -0.754338 -0.688096 0.307891 -0.564236
1910:8:16:0 -0.737955 -0.658916 0.176932 -0.496963
1910:9:16:0 -1.00721 -0.807803 0.119011 -0.662817
1910:10:16:0 -0.873036 -0.871233 0.189633 -0.532237
1910:11:16:0 -0.690151 -0.589152 -0.012543 -0.389303
1910:12:16:0 -0.575062 -0.769222 -0.0668375 -0.157032
1911:1:16:0 -0.468737 -0.559894 -0.0265152 -0.175533
1911:2:16:0 -0.431271 -0.576098 -0.341888 0.0277216
1911:3:16:0 -0.624067 -0.621915 -0.0462783 -0.28997
1911:4:16:0 -0.828237 -0.925183 0.0400838 -0.385687
1911:5:16:0 -0.611137 -0.993943 -0.227393 -0.000469208
1911:6:16:0 -0.672912 -0.425162 -0.234162 -0.34325
1911:7:16:0 -0.533156 0.0527038 -0.343501 -0.387757
1911:8:16:0 -0.729642 0.52617 -0.406023 -0.789715
1911:9:16:0 -0.346174 0.910908 -0.544808 -0.529224
1911:10:16:0 -0.211161 0.591501 -0.496499 -0.258662
1911:11:16:0 0.340059 0.864327 -0.655889 0.235841
1911:12:16:0 0.128424 1.25429 -0.432671 -0.282387
1912:1:16:0 0.531792 1.00014 -0.653699 0.358573
1912:2:16:0 0.439785 0.681837 -0.477835 0.337785
1912:3:16:0 0.464148 0.402639 -0.411709 0.468683
1912:4:16:0 0.403982 0.497229 -0.269552 0.290144
1912:5:16:0 0.00223252 0.179055 -0.355512 0.0904609
1912:6:16:0 -0.016016 -0.00941548 -0.154325 0.0658542
1912:7:16:0 0.0353378 -0.530966 -0.105955 0.353798
1912:8:16:0 -0.153474 -0.282408 -0.0736362 0.0245476
1912:9:16:0 -0.0259233 0.0589816 -0.142526 0.0158486
1912:10:16:0 -0.127259 -0.150268 -0.130542 0.0131456
1912:11:16:0 0.0209434 -0.259174 -0.152627 0.226844
1912:12:16:0 -0.280178 -0.302832 -0.20835 -0.0245869
1913:1:16:0 -0.315287 0.111905 -0.34499 -0.198744
1913:2:16:0 0.181628 0.243235 -0.286859 0.20344
1913:3:16:0 0.159397 -0.243981 -0.401271 0.482023
1913:4:16:0 -0.34682 -1.1996 -0.261986 0.383971
1913:5:16:0 -0.17237 -0.517882 -0.431779 0.30246
1913:6:16:0 -0.285614 -0.0860122 -0.226668 -0.129274
1913:7:16:0 -0.338188 -0.00134608 -0.293441 -0.190794
1913:8:16:0 -0.348267 0.331975 -0.347474 -0.340517
1913:9:16:0 0.0160955 0.299415 -0.499366 0.116071
1913:10:16:0 -0.157155 0.830697 -0.431533 -0.356737
1913:11:16:0 0.186964 0.681165 -0.326711 0.00973739
1913:12:16:0 0.18204 0.893167 -0.33 -0.0995436
1914:1:16:0 0.0407172 0.692726 -0.400316 -0.105488
1914:2:16:0 0.359652 0.2967 -0.419298 0.420951
1914:3:16:0 0.153936 0.372868 -0.249934 0.0924685
1914:4:16:0 0.414065 -0.093406 -0.0931774 0.507357
1914:5:16:0 0.204366 -0.280446 -0.0671202 0.378149
1914:6:16:0 0.0727228 -0.0256268 -0.376948 0.27401
1914:7:16:0 0.211898 0.403798 -0.464114 0.242056
1914:8:16:0 0.457809 0.719024 -0.5494 0.372997
1914:9:16:0 0.28062 0.930295 -0.394333 0.0126388
1914:10:16:0 0.162426 0.7582 -0.460735 0.0136935
1914:11:16:0 0.151603 0.550775 -0.479967 0.116199
1914:12:16:0 0.310217 0.733719 -0.484182 0.185449
1915:1:16:0 0.468622 0.560639 -0.420076 0.398341
1915:2:16:0 0.493255 0.370606 -0.463152 0.539528
1915:3:16:0 0.43493 0.462233 -0.368548 0.388088
1915:4:16:0 0.313966 0.715347 -0.310526 0.111555
1915:5:16:0 0.369283 1.03114 -0.127759 -0.082409
1915:6:16:0 0.60906 1.4989 -0.0457442 -0.117517
1915:7:16:0 0.208073 0.350203 0.191498 -0.0627773
1915:8:16:0 0.138593 4.87646e-05 0.255232 0.0109524
1915:9:16:0 0.208267 -0.0964546 0.255635 0.128677
1915:10:16:0 0.287275 -0.258896 0.0712105 0.381117
1915:11:16:0 0.0042637 -0.445005 -0.04133 0.247431
1915:12:16:0 0.101979 -0.603066 0.07694 0.365041
1916:1:16:0 0.0754211 -0.415907 0.00241779 0.282166
1916:2:16:0 -0.169057 -0.901808 0.00721695 0.278239
1916:3:16:0 -0.0932384 -0.674937 0.00233563 0.243062
1916:4:16:0 -0.0193418 -0.64672 0.0787324 0.264652
1916:5:16:0 0.215233 -0.86897 -0.101603 0.70052
1916:6:16:0 0.0539882 -0.958337 -0.102999 0.584656
1916:7:16:0 -0.56521 -1.51657 -0.0625751 0.224362
1916:8:16:0 -0.891923 -1.57958 0.202301 -0.203284
1916:9:16:0 -0.912016 -1.49086 0.184458 -0.258816
1916:10:16:0 -0.719875 -1.47318 0.158387 -0.0624799
1916:11:16:0 -0.995338 -1.58584 -0.0360705 -0.184381
1916:12:16:0 -0.826905 -1.03805 -0.0725108 -0.271623
1917:1:16:0 -0.806908 -0.913938 -0.121606 -0.289136
1917:2:16:0 -0.541689 -1.11375 -0.226356 0.128363
1917:3:16:0 -0.468157 -0.899998 -0.402278 0.182981
1917:4:16:0 -0.493401 -0.320879 -0.294238 -0.185842
1917:5:16:0 -0.604045 -0.163475 -0.453666 -0.295475
1917:6:16:0 -0.467352 -0.0905933 -0.323932 -0.26009
1917:7:16:0 -0.384307 0.449221 -0.239527 -0.489154
1917:8:16:0 -0.309184 0.213131 -0.0976083 -0.366945
1917:9:16:0 -0.354573 -0.0673902 -0.00334083 -0.319208
1917:10:16:0 -0.206651 -0.354405 -0.10074 0.0209212
1917:11:16:0 -0.470278 -0.451526 -0.190973 -0.149029
1917:12:16:0 -0.503726 -0.894124 -0.258394 0.0725329
1918:1:16:0 -0.513391 -0.701423 -0.31361 -0.0058741
1918:2:16:0 -0.506582 -0.533736 -0.42851 -0.025459
1918:3:16:0 -0.466545 -0.271499 -0.285006 -0.188292
1918:4:16:0 -0.445697 0.116374 -0.352341 -0.327713
1918:5:16:0 -0.280771 0.619561 -0.356234 -0.412435
1918:6:16:0 0.103564 1.16715 -0.419479 -0.270272
1918:7:16:0 -0.120132 1.24084 -0.384595 -0.548253
1918:8:16:0 0.0439119 1.08173 -0.527666 -0.23312
1918:9:16:0 0.293912 1.10557 -0.593599 0.0379262
1918:10:16:0 0.506097 1.29622 -0.475101 0.0955347
1918:11:16:0 0.517401 1.34115 -0.471128 0.0823909
1918:12:16:0 0.49329 1.15158 -0.498598 0.166797
1919:1:16:0 0.756968 1.04361 -0.296842 0.383585
1919:2:16:0 0.586831 0.628314 -0.137757 0.341552
1919:3:16:0 0.62899 0.336855 -0.125036 0.523081
1919:4:16:0 0.514275 0.5862 -0.0878265 0.265088
1919:5:16:0 0.562183 0.883433 -0.121834 0.181383
1919:6:16:0 0.419403 0.803315 -0.118275 0.0768839
1919:7:16:0 0.158436 0.466837 -0.251116 0.0505756
1919:8:16:0 0.334276 0.317672 -0.291804 0.321342
1919:9:16:0 0.254806 0.517009 -0.234793 0.113698
1919:10:16:0 0.00905161 0.204154 -0.401062 0.107506
1919:11:16:0 -0.293772 -0.289834 -0.302902 0.00259626
1919:12:16:0 0.195083 0.191899 -0.237069 0.217668
1920:1:16:0 0.234842 0.707666 -0.413507 0.0877627
1920:2:16:0 0.215312 0.568943 -0.383126 0.122404
1920:3:16:0 0.279317 0.327662 -0.307208 0.26909
1920:4:16:0 -0.0566016 0.285296 -0.156636 -0.120932
1920:5:16:0 0.0575183 0.419726 0.0508409 -0.177765
1920:6:16:0 0.236798 -0.0926725 -0.0629323 0.314601
1920:7:16:0 0.204206 -0.881671 -0.241823 0.765953
1920:8:16:0 0.140803 -0.267175 -0.152057 0.350419
1920:9:16:0 0.245665 -0.353168 -0.15357 0.499034
1920:10:16:0 0.562702 -0.706194 -0.175999 1.0038
1920:11:16:0 -0.0433323 -0.185272 -0.247719 0.173163
1920:12:16:0 -0.297533 -0.00449635 -0.200104 -0.195233
1921:1:16:0 0.0102333 -0.234608 -0.0721415 0.163608
1921:2:16:0 -0.389751 -0.211166 -0.111716 -0.22831
1921:3:16:0 -0.881357 -0.498697 -0.0754868 -0.594266
1921:4:16:0 -0.216338 -0.523109 -0.2975 0.193966
1921:5:16:0 -0.596192 -0.395411 -0.154153 -0.32141
1921:6:16:0 -0.349087 -0.367905 0.133464 -0.231866
1921:7:16:0 -0.193316 -0.290636 0.00499844 -0.0504975
1921:8:16:0 -0.0193588 -0.720371 -0.0823874 0.38202
1921:9:16:0 -0.120201 -0.766339 0.0131446 0.256396
1921:10:16:0 0.0149776 -0.272714 -0.0254528 0.164061
1921:11:16:0 -0.449287 -0.321672 -0.0129391 -0.281982
1921:12:16:0 -0.0114664 -0.535271 -0.0796043 0.295971
1922:1:16:0 -0.27235 -0.570863 -0.115819 0.0709913
1922:2:16:0 0.107609 0.17624 -0.354052 0.196515
1922:3:16:0 0.160835 -0.15657 -0.320478 0.399359
1922:4:16:0 -0.240925 -0.152767 -0.120946 -0.104068
1922:5:16:0 0.15705 -0.171057 -0.14365 0.314403
1922:6:16:0 -0.272752 -0.702176 -0.149615 0.153144
1922:7:16:0 -0.0219467 -0.80638 -0.1816 0.472044
1922:8:16:0 -0.18667 -1.0033 -0.427116 0.528537
1922:9:16:0 -0.14331 -0.963426 -0.425726 0.551265
1922:10:16:0 -0.211394 -0.568168 -0.163928 0.154655
1922:11:16:0 -0.0788924 -1.1188 0.00886149 0.476079
1922:12:16:0 -0.434695 -0.819891 -0.0412959 -0.00410202
1923:1:16:0 -0.146118 -0.225536 -0.0898169 0.0115588
1923:2:16:0 -0.247301 -0.155858 -0.165427 -0.086658
1923:3:16:0 -0.194774 -0.539478 -0.303203 0.226566
1923:4:16:0 -0.0345743 0.0419993 -0.448933 0.168892
1923:5:16:0 -0.0650619 -0.175863 -0.355278 0.200509
1923:6:16:0 -0.035304 0.281591 -0.227132 -0.0625338
1923:7:16:0 -0.186053 0.419429 -0.318424 -0.236555
1923:8:16:0 0.068077 -0.107649 -0.520654 0.382228
1923:9:16:0 0.318468 0.115913 -0.693547 0.607284
1923:10:16:0 0.502666 0.0900257 -0.479265 0.697286
1923:11:16:0 0.60607 0.150788 -0.323381 0.692367
1923:12:16:0 0.432231 0.167203 -0.384926 0.541093
1924:1:16:0 0.168545 -0.531823 -0.350388 0.60965
1924:2:16:0 0.185685 -0.267187 -0.227355 0.432956
1924:3:16:0 0.337887 -0.620968 -0.242851 0.769796
1924:4:16:0 0.0720553 -0.499864 -0.0539204 0.348947
1924:5:16:0 -0.311154 -0.961644 0.136858 0.101239
1924:6:16:0 -0.104196 -0.79331 0.0809891 0.251965
1924:7:16:0 -0.319395 -0.809612 0.0984045 0.0362093
1924:8:16:0 -0.448638 -0.755592 0.0238727 -0.0827782
1924:9:16:0 -0.459044 -0.804603 0.129921 -0.121703
1924:10:16:0 -0.418326 -0.514683 0.087561 -0.204765
1924:11:16:0 -0.781905 -0.635205 0.0659553 -0.49728
1924:12:16:0 -0.389788 -0.71427 -0.247058 0.0908759
1925:1:16:0 -0.764607 -0.589257 0.011927 -0.475942
1925:2:16:0 -0.581565 0.396024 -0.377059 -0.591047
1925:3:16:0 -0.478659 0.477884 -0.254695 -0.590254
1925:4:16:0 -0.302462 0.522735 -0.423313 -0.352173
1925:5:16:0 -0.268715 0.134185 -0.340873 -0.165372
1925:6:16:0 -0.446388 0.609471 -0.280417 -0.610915
1925:7:16:0 0.109365 0.751848 -0.313752 -0.109683
1925:8:16:0 0.291584 0.814043 -0.40585 0.0874877
1925:9:16:0 0.459557 0.704628 -0.410981 0.312733
1925:10:16:0 0.468324 0.71831 -0.435874 0.327106
1925:11:16:0 0.670921 0.765877 -0.437517 0.506741
1925:12:16:0 0.807258 1.1022 -0.251267 0.381792
1926:1:16:0 0.643226 1.20384 -0.42218 0.252398
1926:2:16:0 0.765399 0.767422 -0.0221186 0.392747
1926:3:16:0 0.733702 0.933673 -0.134855 0.334293
1926:4:16:0 0.495398 0.762566 0.123331 0.052449
1926:5:16:0 0.636417 0.733555 0.160203 0.189538
1926:6:16:0 0.591383 0.402629 0.0087976 0.38567
1926:7:16:0 0.414052 0.606927 -0.129124 0.17515
1926:8:16:0 0.268898 0.00219866 0.136524 0.199536
1926:9:16:0 0.160299 -0.219798 0.13301 0.203693
1926:10:16:0 -0.145941 0.00608324 0.141399 -0.219682
1926:11:16:0 -0.192289 -0.11528 -0.176247 -0.0465255
1926:12:16:0 -0.091011 0.172837 -0.0303284 -0.162265
1927:1:16:0 0.146883 0.191869 -0.107104 0.1045
1927:2:16:0 0.230389 0.53017 -0.142522 0.0365652
1927:3:16:0 -0.0895003 -0.0293856 0.0834908 -0.116553
1927:4:16:0 0.0606406 -0.0440974 0.100726 0.0323261
1927:5:16:0 -0.338899 -0.176882 -0.124739 -0.188088
1927:6:16:0 0.0146846 -0.157893 0.121237 0.0330124
1927:7:16:0 -0.0542208 -0.388578 -0.0323092 0.156223
1927:8:16:0 0.117251 -0.133168 -0.220442 0.294056
1927:9:16:0 -0.00389852 0.0210706 -0.265177 0.118155
1927:10:16:0 0.174404 -0.130311 -0.179146 0.329132
1927:11:16:0 -0.0192568 0.00747226 -0.039968 -0.00300897
1927:12:16:0 0.296476 -0.152883 -0.136602 0.441219
1928:1:16:0 0.430379 -0.0625129 0.0974276 0.412922
1928:2:16:0 0.229707 -0.0656341 -0.0357186 0.280383
1928:3:16:0 0.102396 0.0988536 -0.137064 0.121501
1928:4:16:0 0.142271 -0.1755 -0.0506147 0.255329
1928:5:16:0 0.227158 -0.106805 -0.199312 0.380217
1928:6:16:0 0.0983548 -0.443291 -0.183231 0.411616
1928:7:16:0 0.00513728 -0.398069 -0.259551 0.333947
1928:8:16:0 0.00197739 -0.386681 -0.168129 0.279383
1928:9:16:0 0.0554341 -0.347456 -0.082641 0.270482
1928:10:16:0 0.0206919 -0.435341 -0.0795098 0.278117
1928:11:16:0 0.0893307 -0.471728 -0.0557613 0.353075
1928:12:16:0 -0.152935 -0.516941 0.076797 0.0671374
1929:1:16:0 -0.147268 -0.545145 -0.2243 0.237455
1929:2:16:0 -0.102622 -0.142806 -0.16747 0.0525163
1929:3:16:0 -0.0477775 -0.0134819 -0.101332 0.00962927
1929:4:16:0 -0.0045946 0.44717 -0.340723 -0.0578182
1929:5:16:0 -0.107683 0.301811 -0.40261 -0.0572837
1929:6:16:0 0.0669942 0.324862 -0.386631 0.0978786
1929:7:16:0 0.157562 0.0465393 -0.549505 0.409045
1929:8:16:0 0.137328 0.0975386 -0.310119 0.243618
1929:9:16:0 0.181808 0.364554 -0.252335 0.125698
1929:10:16:0 0.271085 -0.0477777 -0.262584 0.426266
1929:11:16:0 0.260217 -0.00993379 -0.12148 0.325925
1929:12:16:0 0.501288 -0.0637453 -0.207445 0.636883
1930:1:16:0 0.497997 -0.406246 -0.406766 0.904502
1930:2:16:0 0.488877 -0.266874 -0.346844 0.795736
1930:3:16:0 0.441964 0.0336577 -0.464718 0.657494
1930:4:16:0 0.385959 0.426376 -0.509723 0.427633
1930:5:16:0 -0.0178983 0.184502 -0.462209 0.120956
1930:6:16:0 0.247741 0.413723 -0.417002 0.24938
1930:7:16:0 0.418639 0.734864 -0.436371 0.269393
1930:8:16:0 0.312445 0.966257 -0.168456 -0.0864557
1930:9:16:0 0.660335 1.05996 -0.452047 0.356378
1930:10:16:0 0.602926 1.45988 -0.0923961 -0.0808173
1930:11:16:0 0.953723 1.36876 -0.231204 0.384947
1930:12:16:0 0.648276 1.32163 -0.262186 0.118552
1931:1:16:0 0.76237 1.40363 -0.0661073 0.0936092
1931:2:16:0 0.920394 0.970774 -0.0406822 0.455348
1931:3:16:0 0.558628 1.03427 0.0858572 -0.00143385
1931:4:16:0 0.519064 0.917823 -0.144287 0.132296
1931:5:16:0 0.547427 0.240591 -0.105208 0.479735
1931:6:16:0 0.571116 0.146359 0.101281 0.447295
1931:7:16:0 0.457942 0.417742 0.118155 0.189993
1931:8:16:0 0.387099 -0.114968 0.0486451 0.42026
1931:9:16:0 -0.0453523 -0.195753 0.172142 -0.0335468
1931:10:16:0 0.00479038 0.24397 -0.0886893 -0.07285
1931:11:16:0 0.0553476 -0.229416 -0.0553411 0.197726
1931:12:16:0 -0.151674 -0.177019 0.12244 -0.124385
1932:1:16:0 -0.222153 0.361304 -0.147451 -0.329079
1932:2:16:0 -0.124257 0.593858 -0.0158939 -0.413239
1932:3:16:0 0.1624 0.610827 -0.167504 -0.0592608
1932:4:16:0 -0.0205456 0.463648 -0.154458 -0.17514
1932:5:16:0 0.0526334 0.92258 -0.429172 -0.19407
1932:6:16:0 0.0940163 0.91798 -0.269391 -0.230278
1932:7:16:0 -0.185348 0.539711 -0.351186 -0.279611
1932:8:16:0 0.0851302 0.497024 -0.396167 0.0347018
1932:9:16:0 0.099627 -0.0116919 -0.213651 0.212298
1932:10:16:0 0.12251 0.180116 -0.0869007 0.0759024
1932:11:16:0 0.0659288 -0.106471 -0.192138 0.215233
1932:12:16:0 -0.178893 -0.0861427 -0.254628 -0.00850749
1933:1:16:0 -0.0115849 -0.249323 -0.0235168 0.124835
1933:2:16:0 -0.12457 0.229307 -0.2002 -0.139123
1933:3:16:0 -0.100952 0.0521738 -0.092941 -0.0805684
1933:4:16:0 0.000651707 0.0422058 0.0201523 -0.0305273
1933:5:16:0 -0.318795 -0.352937 0.0426357 -0.163645
1933:6:16:0 -0.554607 -0.256839 0.040567 -0.446471
1933:7:16:0 -0.388445 -0.532607 -0.0643025 -0.0899896
1933:8:16:0 -0.593435 -0.391927 -0.0418462 -0.376549
1933:9:16:0 -0.660956 -0.436695 0.118551 -0.501885
1933:10:16:0 -0.936372 -0.520936 0.0979933 -0.7249
1933:11:16:0 -0.660447 -0.354987 0.0568381 -0.511372
1933:12:16:0 -0.862355 -0.474202 0.0518236 -0.651165
1934:1:16:0 -0.731474 -0.168182 0.132693 -0.713729
1934:2:16:0 -0.658158 -0.381389 -0.0991185 -0.417904
1934:3:16:0 -0.695364 0.0962088 -0.098942 -0.693997
1934:4:16:0 -0.345092 0.27068 -0.158358 -0.401253
1934:5:16:0 -0.437353 -0.0273986 -0.324757 -0.261275
1934:6:16:0 -0.272088 0.281934 -0.188726 -0.318692
1934:7:16:0 -0.315483 -0.369256 -0.0990495 -0.0813306
1934:8:16:0 -0.414218 0.287413 -0.0129106 -0.551469
1934:9:16:0 -0.345828 0.398042 -0.192672 -0.448512
1934:10:16:0 -0.242901 -0.116752 -0.0803092 -0.144371
1934:11:16:0 -0.13071 -0.19489 0.0299244 -0.048227
1934:12:16:0 -0.226185 -0.558064 0.0132109 0.046242
1935:1:16:0 -0.218438 -0.611761 -0.0801921 0.127539
1935:2:16:0 -0.0142642 -0.981539 0.140682 0.406165
1935:3:16:0 -0.166319 -0.198716 -0.086801 -0.0235607
1935:4:16:0 -0.323588 0.223314 -0.0722759 -0.399107
1935:5:16:0 -0.409432 0.157801 -0.0659725 -0.455346
1935:6:16:0 -0.210272 -0.28699 -0.174319 0.0203822
1935:7:16:0 -0.350424 -0.498927 -0.261163 0.0296211
1935:8:16:0 0.117049 0.146502 -0.0608405 0.074218
1935:9:16:0 0.104525 0.292608 -0.241526 0.0789842
1935:10:16:0 0.221893 0.0554738 -0.20153 0.294921
1935:11:16:0 0.201812 0.319333 -0.150062 0.117176
1935:12:16:0 -0.0229463 0.252315 -0.108912 -0.0946479
1936:1:16:0 0.313263 -0.103054 -0.163048 0.446314
1936:2:16:0 0.222781 0.273213 -0.0112701 0.0918101
1936:3:16:0 0.124086 0.0318478 -0.0432367 0.12978
1936:4:16:0 0.30772 0.272603 -0.181555 0.262196
1936:5:16:0 0.404242 0.0872672 -0.293827 0.507522
1936:6:16:0 -0.00306853 -0.231087 0.00314781 0.110901
1936:7:16:0 -0.0301339 0.169845 0.0351084 -0.132611
1936:8:16:0 -0.0799775 -0.113655 0.0898938 -0.0680968
1936:9:16:0 0.0109154 0.235565 -0.0269041 -0.0934148
1936:10:16:0 0.298156 0.515937 0.0136075 0.0333832
1936:11:16:0 0.0128974 0.24801 0.0769875 -0.149601
1936:12:16:0 0.428517 0.168098 0.130912 0.279012
1937:1:16:0 -0.0832094 0.278151 -0.0386151 -0.202977
1937:2:16:0 0.313386 0.252242 -0.0110433 0.192787
1937:3:16:0 0.610287 -0.325186 -0.0715994 0.80868
1937:4:16:0 0.165338 0.106415 -0.0441722 0.134216
1937:5:16:0 -0.0644447 -0.536415 -0.0116131 0.20957
1937:6:16:0 -0.152565 -0.230999 0.158525 -0.116328
1937:7:16:0 0.239352 0.0818801 -0.0428918 0.219858
1937:8:16:0 0.0305249 -0.254108 -0.0927361 0.203947
1937:9:16:0 0.084984 0.20976 -0.0335763 -0.00310787
1937:10:16:0 0.0440528 -0.234322 0.00177671 0.160325
1937:11:16:0 0.260558 -0.343506 0.204083 0.33027
1937:12:16:0 -0.0235322 -0.229626 0.197013 -0.00722541
1938:1:16:0 -0.055986 -0.433675 0.0198931 0.150905
1938:2:16:0 0.0223602 -0.48521 0.0347653 0.247583
1938:3:16:0 0.0782093 -0.414462 0.141098 0.214891
1938:4:16:0 -0.0711136 -0.843861 0.209652 0.245991
1938:5:16:0 -0.337218 -0.100826 0.0739292 -0.32377
1938:6:16:0 -0.520943 -1.01515 -0.00469578 -0.0110221
1938:7:16:0 -0.399369 -1.55877 0.248535 0.255749
1938:8:16:0 -0.494748 -0.74443 0.190903 -0.217984
1938:9:16:0 -0.0768125 -0.330773 0.069994 0.0535772
1938:10:16:0 -0.58811 -0.142232 0.0719453 -0.552967
1938:11:16:0 -0.460018 -0.421009 0.160939 -0.329983
1938:12:16:0 -0.404778 -0.866462 -0.0913227 0.0741144
1939:1:16:0 -0.421484 -0.247247 -0.109974 -0.242873
1939:2:16:0 -0.552692 -0.25741 -0.18472 -0.331628
1939:3:16:0 -0.400818 -0.490859 -0.228228 -0.0412746
1939:4:16:0 -0.078872 -0.213734 -0.0250445 0.040517
1939:5:16:0 -0.103679 0.160636 -0.15212 -0.107937
1939:6:16:0 -0.0817776 0.399165 -0.195921 -0.1834
1939:7:16:0 0.230593 0.104194 0.0964377 0.130277
1939:8:16:0 -0.0428015 0.307157 -0.000603145 -0.196078
1939:9:16:0 0.670693 -0.195655 -0.076665 0.806853
1939:10:16:0 -0.424001 0.148279 -0.263541 -0.36637
1939:11:16:0 0.0828364 0.199342 -0.0891065 0.0277187
1939:12:16:0 0.312246 0.239815 0.0519565 0.16636
1940:1:16:0 0.623342 0.759579 -0.0545759 0.27084
1940:2:16:0 0.733862 0.759391 -0.145449 0.426891
1940:3:16:0 0.71741 0.701115 -0.172742 0.453223
1940:4:16:0 0.521871 0.664767 -0.103623 0.241299
1940:5:16:0 0.417203 0.30965 -0.197883 0.36132
1940:6:16:0 0.638705 0.369583 -0.146161 0.526994
1940:7:16:0 0.490919 0.0883412 -0.00375741 0.448627
1940:8:16:0 0.458253 0.497907 -0.241027 0.329813
1940:9:16:0 0.214232 0.365979 -0.0493436 0.0559137
1940:10:16:0 0.428694 0.380809 -0.0269843 0.251782
1940:11:16:0 0.666786 0.250403 -0.00684787 0.545008
1940:12:16:0 0.885343 0.474533 -0.129685 0.712919
1941:1:16:0 0.848177 0.742888 -0.0709307 0.512199
1941:2:16:0 0.76542 0.967024 -0.0473391 0.305577
1941:3:16:0 0.990658 1.25952 -0.028415 0.375104
1941:4:16:0 1.04295 1.27151 0.0258352 0.394284
