 http://polarmet.osu.edu/NAO/Azores_mslp.txt
 MONTHLY PRESSURE ANOMALIES FOR PONTA DELGADA, AZORES

      JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC 
1927    7.9    0.4    3.9    1.2   -4.6    0.7   -1.9   -0.7    1.0   -7.2    1.2   -8.3
1928    9.4    3.7   -3.6   -3.0   -5.3   -5.6   -1.5   -2.2   -2.9    5.3    3.9    3.6
1929   -9.9   -2.5   -5.7   -4.9    4.1   -1.7    0.1    0.5    0.0    4.2    1.9    2.2
1930    1.9    1.1   -2.8   -0.5    2.9    1.1   -2.3   -1.1   -2.4   -0.1    1.6    5.4
1931    3.3    9.2  -14.4    0.6   -0.9   -2.7    1.5   -1.9   -0.5   -4.2   -0.5    1.6
1932    1.5   -7.0   -4.0    4.7   -1.1   -1.3    1.5    0.5   -0.1    5.5   -0.5   -2.9
1933    0.5   -4.0    0.4   -3.2    0.2    2.9    2.1    0.0   -0.6   -4.3    2.9    2.0
1934    5.3    5.2    7.1   -5.0    1.9   -2.7   -0.3    2.0    0.8    1.5   -2.1   -5.7
1935    4.2    6.1    0.9   -2.8   -1.0    0.1    2.0    2.1    0.7    7.4    2.0   -2.1
1936   -9.4   -9.2   -5.2   -1.3    1.3    0.1    1.1    2.0   -3.7    5.3    5.7    2.7
1937   -3.5   -3.2   -2.5   -1.0    0.1   -3.3   -2.9   -0.7   -0.5   -1.5   -9.4   -0.2
1938    6.5   -2.5    4.4   -5.8    3.0    0.7    1.5    2.5    2.0    4.2    1.5    0.6
1939   -4.7    4.7    2.9   -2.0   -0.5   -0.1   -0.1    0.2   -5.3    0.5    4.3   -3.2
1940   -6.0   -8.8   -5.6   -1.4   -3.9    1.3    1.9    0.4   -0.1   -1.5    4.0    1.9
1941   -5.2   -3.3    1.3   -2.3    1.3   -0.3    0.1    1.0   -2.6   -0.1   -4.2    3.0
1942    7.5   -6.6  -10.3   -2.6   -1.7   -2.9    1.1    1.8    1.4    1.3   -3.7   -1.9
1943   -4.0   11.4   -1.0    3.7    0.1    1.9   -0.3   -0.2    3.6   -1.6    7.4    4.1
1944    2.1    3.8   -6.9   -3.5    0.4   -0.7   -3.8    1.2    1.6    4.5    0.5    4.4
1945    0.7    6.1    1.9   -9.2   -3.3    0.3   -0.1    1.9   -0.8   -4.4  -10.2   -6.6
1946    3.6    2.2    0.5    5.2   -4.0    3.4    1.0    2.6    1.3   -7.2   -0.9    4.9
1947   -2.9   -9.9   -9.8    4.8   -2.0   -1.7   -1.7   -0.9    3.0    0.3   -2.5   -3.1
1948   -0.3   -3.0    3.0    4.0   -1.2    0.9   -1.3   -0.1    0.1    2.7   -6.8   -2.7
1949    4.1    2.2    1.3    2.6    0.9   -1.3   -0.5   -2.5   -1.2   -0.7    2.7    0.9
1950   -0.7    3.4   -0.9    1.8   -3.6   -2.4   -1.9   -0.5    3.0    1.3   -2.6    2.0
1951    4.5    4.7   -5.5   -3.8   -2.7   -4.5   -1.7    2.4   -1.2    1.3    0.1    2.8
1952   10.5   -3.3   -9.5    2.2   -3.7   -0.5    1.3   -0.6   -0.2   -2.7   -2.9    1.8
1953   -4.5    3.7    2.5   -5.8   -2.7    2.5    2.3    1.4    0.8    0.3    0.1   -0.2
1954    5.5    5.7    0.5    3.2   -2.7    2.5    3.3    0.4    4.8   -0.7    0.1    3.8
1955   -6.5   -6.3   -6.5   -0.8    0.3   -0.5    0.3   -0.6    3.8   -1.7   -7.9   -1.2
1956   -0.5   -5.3    0.5   -2.8    6.3    3.5   -0.7    0.4   -1.2    0.3    3.1    3.8
1957    4.5   -3.3   -9.5    3.2    2.3   -3.5   -0.7    1.4   -1.2    0.3   -3.9    4.8
1958   -2.5   -8.3   -7.5    3.2    1.3   -1.5   -1.7   -0.6   -3.2    2.3    4.1   -1.2
1959   -5.5    4.7   -0.5    1.2   -0.7    1.5    1.3   -1.6   -2.2    0.3    3.1    3.8
1960   -4.5  -13.3   -3.5    1.2   -1.7    1.5    2.3   -2.6    1.8   -4.7    0.1    6.8
1961    4.5   -0.3   -1.5   -4.8   -3.7    3.5    1.5    0.4    0.8    3.3   -1.9  -11.3
1962    5.5    7.7   -9.5    1.2    1.3   -1.5   -0.7    2.4   -1.2   -0.7    1.1   -3.2
1963  -12.5   -2.3   -0.5   -3.8    7.3   -2.5   -2.7    2.4    2.8    0.3   -3.9   -5.2
1964   -5.5   -7.3   -7.5    4.2    0.3   -1.5    0.3   -1.6   -0.2    3.3    1.1    0.8
1965   -0.5   -8.3   -1.5    7.2    0.3    0.5    1.3    0.4    0.8   -2.7    1.1    2.8
1966  -12.5  -11.3    2.5   -4.8    3.3    0.5    2.3   -1.6   -1.2   -5.7    4.1    4.8
